operacao|ctefctef|cnpjctef|empresactef|valorCtef|valorAceitoCaixa
0223542||33.059.908/0001-20|CR ALMEIDA - ENGENHARIA DE OBRAS|nan|100812696,00
0223542||17.376.138/0001-92|ENGESOLO ENGENHARIA LTDA|nan|7196729,20
0223542||16.587.834/0001-85|COMIN CONSTRUTORA LTDA|nan|2625961,87
0223542||04.346.365/0001-23|CONSERCON CONSTRUÇÕES LTDA|nan|1630783,51
0223542||33.059.908/0001-20|CR ALMEIDA|nan|41143676,70
0223542||23.998.438/0001-06|CCM - CONSTRUTORA CENTRO MINAS|nan|4238300,49
0223542||00.204.293/0001-29|FUNDAÇÃO ISRAEL PINHEIRO|nan|381900,00
0223542||16.502.551/0001-93|SITRAN SINALIZAÇÃO DE TRÂNSITO INDUSTRIAL LTDA.|nan|1612022,30
0223542||23.971.203/0001-20|COLLEM CONSTRUTORA MOHALLEM LTDA|nan|2136758,18
0292891||17.376.138/0001-92|ENGESOLO ENGENHARIA LTDA|nan|7240974,76
0292891|CT-165/2010|17.304.221/0001-56|ANDRADE VALLADARES ENGENHARIA E CONSTRUÇÃO LTDA|0,00|57169661,87
0408727|||INSTITUTO ITIQUIRA|nan|1640876,51
0424412||37.051.927/0001-60|CONSTRUTORA SOUZA MACHADO|nan|1228775,36
1013264|45/2015|57.623.761/0001-17|DNP Terraplenagem e Pavimentadora Foresto Ltda.|nan|179711,19
1013264|07/2015||Ecopontes - Sistemas Estruturais Sustentáveis Ltda.|nan|752863,45
0353053|||FIRPAV CONSTRUTORA E PAVIMENTADORA S/A|nan|1855982,09
0353053|||FIRPAV CONSTRUTORA E PAVIMENTADORA S/A|nan|1491013,27
1006719|053/2015|04.349.790/0001-76|COPLENGE ENGENHARIA LDA|nan|293059,01
0297270||07.851.412/0001-84|STEGE Engenharia Ltda|nan|829998,68
1001668||11.498.850/0001-88|MARIA CECILIA JORGE EPP|nan|339010,71
1005371||00.020.063/5190-00|T.N.OKA TECNOLOGIA E CONSTRUÇÕES LTDA EPP|nan|495005,24
0265549|114/2011|15.428.774/0001-95|ECOL Eng e Comércio Ltda|0,00|1380125,50
0279397||73.606.395/0001-18|MARK Construções Ltda|nan|8062098,50
0297270||07.851.412/0001-84|STEGE Engenharia Ltda|nan|1128178,61
0192773||95.849.279/0001-99|BRITTER LTDA|nan|1341840,17
0222915||07.793.448/0001-59|PAE PLANEJAMENTO LTDA|nan|288550,00
0353053|||FIRPAV CONSTRUTORA E PAVIMENTADORA S/A|nan|652893,54
0425748|051/SIURB/13|18.295.698/0001-85|CONSÓRCIO CAMARGO CORRÊA - CONSTRAN|0,00|169628885,97
0353053|||TEOREMA ENGENHARIA E CONSTRUÇÕES LTDA|nan|2036334,03
1011432||94.234.275/0001-33|MAKENA MAQUINAS EQUIPAMENTOS LUBRIFICANTES LTDA|nan|1950000,00
0352723|363/2016|02.470.900/0001-28|INFRAMAX|0,00|24641558,43
0222915||04.607.970/0001-00|PLANACON Construtora|nan|660567,28
0222915||04.607.970/0001-00|PLANACON Construtora|nan|292561,72
0222915||01.618.204/0001-53|ENGEPAR Eng e Part|nan|1186104,84
1000953||96.247.283/0001-40|Empreiteira  Mittestainer Ltda - EPP|nan|835877,47
0353053||03.519.306/0001-47|TEOREMA ENGENHARIA E CONSTRUÇÕES LTDA|nan|938721,64
0424029||||nan|0,00
0424412||21.613.460/0001-65|CONSÓRCIO CAMPING CLUB|nan|43846430,08
1016941||04.349.790/0001-75|COPLENGE ENGENHARIA LTDA|nan|479385,83
0222670|||TEOREMA ENGENHARIA E CONSTRUÇÕES|nan|2072779,68
0353053|||FIRPAV CONSTRUTORA E PAVIMENTADORA S/A|nan|1145661,92
0352731|||EIT EMPRESA INDUSTRIAL - SANTA BARBARA ENGENHARIA|nan|24990990,88
0352691|015/2010/SEHAB|40.450.769/0001-26|CONSÓRCIO CARIOCA CHRISTIANI-NIELSEN/DELTA CONSTRUÇÕES|0,00|20579676,00
0425748|051/SIURB/13|18.295.698/0001-85|CONSÓRCIO CAMARGO CORRÊA - CONSTRAN|0,00|17786704,97
0218613|||CONSTRUTORA GOMES LOURENÇO|nan|20673907,56
0192773||02.471.409/0001-11|DACKO BRASIL FLORESTAL LTDA ME|nan|23480,00
0413181|117/15|05.325.897/0001-47|CAMEL Empreendimentos e Construções Ltda|nan|10791769,85
0413181|040/15|13.920.707/0001-68|ENPRO Engenharia de Projetos e Obras Ltda|nan|2532924,00
0396117|42/2014|30.905.111/0001-08|ERWIL CONSTRUÇÕES LTDA.|0,00|18152827,58
0396117|21/2014|20.542.138/0001-20|CONSÓRCIO CONSTRUIR|0,00|18935594,63
1011432||13.137.265/0001-88|MAK MAQUINAS LTDA|nan|908000,00
1011432||88.658.984/0010-34|AGRITECH LAVRALE S A MAQUINÁRIO AGRÍCOLA E COMPONENTES|nan|3435000,00
0222644||28.287.050/0001-10|CONSTRUCON - CONSTRUCOES URBANISMO E CONSERVACAO LTDA|nan|13150418,02
0222644||00.030.017/3210-00|GEOLOGUS ENGENHARIA LTDA|nan|319600,00
0218723||05.701.290/0001-14|TECHNOACQUA SERVIÇOS DE CONSULTORIA LTDA.|1532605,80|77485,98
0218716||07.205.073/0001-69|CONSTRUTORA BETA S/A|nan|0,00
0218723||07.501.407/0001-41|CONFAHT - CONSTRUTORA HOLANDA LTDA|0,00|1444093,32
0222619||13.715.325/0001-00|ENGETRAN ENGENHARIA S/A|0,00|7513728,62
1004751||13.225.183/0001-95|MUNDIAL CONSTRUTORA E LOCACAO EIRELI - EPP|nan|25,01
1008761|20150145|13.772.961/0001-66|R. A. CONSTRUTORA LTDA - ME|0,00|276959,60
0218721|007/CIDADES/2009|10.626.948/0001-00|Consórcio EIT-PB|nan|66404076,98
0218721||00.565.011/0001-19|VAP CONSTRUÇÕES LTDA|nan|6316995,80
0218723||03.006.548/0001-37|COSAMPA PROJETOS E CONSTRUÇÕES LTDA|0,00|5131101,11
0293831||00.700.782/0001-71|TECNOCON TECNOLOGIA EM CONSTRUÇÕES LTDA|nan|-383177,60
0375348|1403.14.09.29.01|73.203.739/0001-74|AMP ENGENHARIA LTDA|nan|1076208,30
0218723||07.654.734/0001-33|ENGEXATA ENGENHARIA LTDA|0,00|40353799,46
0424429|028/2014-SEBRAS|09.620.624/0001-86|M.C.PARENTE PREMOLDADOS LTDA.|nan|832880,02
0424367|029/2014 SEBRAS/CPL|07.484.203/0001-40|FJ CONSTRUÇÕES E EMPREENDIMENTOS EIRELI - EPP|492447,61|492447,61
0218721||23.562.424/0001-45|DPM ENGENHARIA LTDA|nan|446408,91
0293831||00.700.782/0001-71|TECNOCON TECNOLOGIA EM CONSTRUÇÕES LTDA|nan|11346455,70
0302561||07.954.605/0001-60|FORTALEZA|nan|112520,00
0218723||01.590.549/0001-46|CONSTRUTORA BORGES CARNEIRO LTDA|0,00|14606791,24
0217984|350/2008|07.309.685/0001-00|PLANOS TÉCNICOS DO BRASIL LTDA|nan|4943159,21
0350949||04.284.607/0001-00|BT SERVIÇOS LTDA|11096449,50|2853939,83
