NR_CONVENIO;NR_PARCELA_CRONO_DESEMBOLSO;MES_CRONO_DESEMBOLSO;ANO_CRONO_DESEMBOLSO;TIPO_RESP_CRONO_DESEMBOLSO;VALOR_PARCELA_CRONO_DESEMBOLSO
717505;1;6;2011;Concedente;337000
717505;2;6;2011;Convenente;37444,44
732718;1;7;2010;Concedente;3543300,17
732718;2;5;2013;Concedente;3307555,85
748134;1;12;2010;Concedente;1950000
748134;2;12;2010;Convenente;100000
706155;1;12;2011;Concedente;9555
706155;2;7;2012;Convenente;4719,6
706155;3;7;2012;Concedente;586950
706155;4;10;2012;Concedente;32077,5
706155;5;9;2012;Convenente;8030
706155;6;11;2012;Convenente;6838,7
706155;7;12;2012;Concedente;6196417,5
706155;8;12;2012;Convenente;119761,7
706155;9;2;2024;Convenente;42014,16
704714;1;12;2009;Convenente;150000
704714;2;12;2009;Concedente;14850000
704714;3;1;2024;Rendimento de Aplicação;35985,84
704714;4;2;2024;Rendimento de Aplicação;284597,05
704714;5;1;2025;Rendimento de Aplicação;264873,65
704714;6;5;2025;Rendimento de Aplicação;103278,8
704714;7;10;2025;Rendimento de Aplicação;126990,92
707255;1;12;2009;Concedente;390000
707255;2;12;2009;Convenente;8000
715694;1;11;2013;Concedente;19899000
715694;2;11;2013;Convenente;6760731,44
758789;1;4;2022;Concedente;200946,83
758789;2;1;2022;Concedente;183487,8
758789;3;5;2022;Convenente;137704,12
758789;4;7;2022;Concedente;356055,05
758789;5;9;2022;Concedente;160457,15
758789;6;10;2022;Convenente;39542,85
763546;1;11;2014;Concedente;2250000
763546;2;11;2018;Convenente;247100,11
763546;3;5;2021;Convenente;4797249,34
737521;1;1;2011;Concedente;358600
737521;2;7;2011;Concedente;617000
737521;3;9;2014;Convenente;108400
768819;1;7;2013;Concedente;8576130,37
768819;2;1;2014;Concedente;1173869,63
768819;3;7;2013;Convenente;1336353,02
768819;4;9;2024;Convenente;1923500,55
703800;1;6;2009;Concedente;1275138,02
703800;2;8;2009;Concedente;2341780,19
703800;3;10;2009;Concedente;4176980,56
703800;4;11;2009;Concedente;2528430,72
703800;5;1;2010;Concedente;1980155,33
703800;6;4;2010;Concedente;10534360,37
703800;7;6;2009;Convenente;12880,18
703800;8;8;2009;Convenente;23654,35
703800;9;10;2009;Convenente;42191,72
703800;10;11;2009;Convenente;25539,7
703800;11;1;2010;Convenente;20001,57
703800;12;7;2022;Convenente;106407,68
703800;13;11;2023;Rendimento de Aplicação;9801621,41
703330;1;12;2017;Concedente;600000
703330;2;12;2017;Convenente;102987,49
717813;1;11;2010;Concedente;19778600
717813;2;11;2010;Convenente;5876381,14
768783;1;12;2011;Concedente;5000000
768783;2;12;2011;Convenente;4293495,07
767883;1;1;2012;Concedente;3000000
767883;2;10;2012;Concedente;11546702
767883;3;1;2012;Convenente;1300000
766389;1;10;2012;Concedente;1950000
766389;2;10;2012;Convenente;81250
766389;3;8;2021;Convenente;4821,92
766389;4;2;2024;Convenente;9699,35
731080;1;3;2010;Concedente;48750
731080;2;4;2010;Concedente;48750
731080;3;5;2010;Concedente;48750
731080;4;6;2010;Concedente;48750
731080;5;1;2025;Rendimento de Aplicação;98000
731080;6;8;2016;Convenente;4359,12
731080;7;4;2024;Convenente;273301,01
713430;1;10;2010;Concedente;121875
713430;2;9;2010;Concedente;121875
713430;3;11;2010;Concedente;121875
713430;4;12;2010;Concedente;121875
713430;5;1;2011;Concedente;121875
713430;6;2;2011;Concedente;121875
713430;7;3;2011;Concedente;121875
713430;8;4;2011;Concedente;121875
713430;9;5;2011;Concedente;121875
713430;10;6;2011;Concedente;121875
713430;11;7;2011;Concedente;121875
713430;12;8;2011;Concedente;121875
713430;13;9;2010;Convenente;121875
713430;14;10;2010;Convenente;121875
713430;15;11;2010;Convenente;121875
713430;16;12;2010;Convenente;121875
713430;17;1;2011;Convenente;121875
713430;18;2;2011;Convenente;121875
713430;19;3;2011;Convenente;121875
713430;20;4;2011;Convenente;121875
713430;21;5;2011;Convenente;121875
713430;22;6;2011;Convenente;121875
713430;23;7;2011;Convenente;121875
713430;24;8;2011;Convenente;121875
715518;1;4;2012;Concedente;2097725,82
715518;2;4;2012;Convenente;233080,65
715518;3;11;2015;Convenente;376066,62
715518;4;12;2015;Rendimento de Aplicação;433081,08
712429;1;8;2023;Convenente;365332,57
712429;2;8;2010;Concedente;286871,14
712429;3;8;2023;Concedente;298128,86
712429;4;8;2010;Convenente;9032,79
706287;1;12;2009;Concedente;246978,53
706287;2;12;2009;Concedente;139255,09
706287;3;12;2009;Concedente;203307,84
706287;4;12;2009;Concedente;231523,32
706287;5;12;2009;Convenente;211322,7
706287;6;12;2009;Convenente;119151,08
706287;7;12;2009;Convenente;173956,66
706287;8;12;2009;Convenente;198098,72
706287;9;12;2009;Concedente;153935,22
706287;10;12;2009;Convenente;131828,12
718755;1;12;2009;Concedente;487500
718755;2;12;2009;Convenente;20231,09
718755;3;9;2025;Convenente;80801,13
731211;1;12;2011;Concedente;2008110
731211;2;12;2015;Concedente;163410
731211;3;9;2017;Concedente;131625
731211;4;8;2021;Concedente;596880
731211;5;10;2021;Concedente;207250
731211;6;12;2021;Concedente;79584
731211;7;6;2022;Concedente;1789558
731211;8;6;2012;Convenente;3852,2
731211;9;10;2012;Convenente;4361,63
731211;10;12;2020;Concedente;4974
731211;11;8;2020;Concedente;94506
731211;12;11;2018;Concedente;774103
731211;13;11;2012;Convenente;3743,07
731211;14;1;2013;Convenente;5989,64
731211;15;4;2013;Convenente;3794,38
731211;16;8;2013;Convenente;9528,64
731211;17;12;2013;Convenente;16398,69
731211;18;4;2014;Convenente;10089,77
731211;19;8;2014;Convenente;7039,16
731211;20;11;2014;Convenente;4377,28
731211;21;3;2015;Convenente;59750,03
713525;1;6;2012;Concedente;97500
713525;2;6;2014;Convenente;90559,89
731211;22;6;2016;Convenente;5617,84
731211;23;8;2020;Convenente;21235,83
731211;24;9;2020;Convenente;90303,46
731211;25;11;2020;Convenente;52577,61
731211;26;1;2021;Convenente;52370,5
731211;27;4;2021;Convenente;34889,62
731211;28;5;2021;Convenente;28793,98
731211;29;6;2021;Convenente;29438,79
731211;30;8;2021;Convenente;41733,32
731211;31;11;2021;Convenente;31878,04
731211;32;9;2023;Concedente;1220000
731211;33;12;2023;Concedente;1220000
731211;34;9;2023;Convenente;918908,77
731211;35;12;2023;Convenente;918908,78
769966;1;6;2019;Concedente;570375
769966;2;8;2019;Concedente;342225
769966;3;5;2019;Concedente;228150
769966;4;2;2013;Convenente;10842,3
769966;5;3;2025;Convenente;141077,91
769966;6;7;2025;Convenente;423233,7
769927;1;1;2013;Concedente;2437500
769927;2;3;2024;Convenente;2034249,7
732797;1;1;2011;Concedente;391957,54
732797;2;2;2011;Concedente;329200
732797;3;3;2011;Concedente;266442,46
732797;4;1;2011;Convenente;69985,71
732797;5;2;2011;Convenente;212693,81
732797;6;3;2011;Convenente;17905,78
732230;1;11;2010;Concedente;91248
732230;2;7;2010;Concedente;240372
732230;3;10;2010;Concedente;173868
731310;1;9;2021;Concedente;7000000
731310;2;1;2022;Rendimento de Aplicação;2387523,09
731310;3;1;2022;Convenente;2130121,67
770867;1;7;2012;Concedente;121875
770867;2;7;2012;Convenente;44362,16
770867;3;8;2012;Concedente;73125
770867;4;9;2012;Concedente;48750
722167;1;11;2015;Concedente;237022,5
722167;2;12;2018;Concedente;187500
722167;3;12;2018;Convenente;44186
722167;4;12;2011;Concedente;6727,5
722167;5;11;2018;Concedente;56250
722167;6;2;2012;Convenente;10314
720736;1;1;2013;Concedente;500000
720736;2;6;2024;Convenente;54987,25
720736;3;7;2024;Rendimento de Aplicação;433710,46
726260;1;12;2009;Concedente;11880000
726260;2;1;2010;Convenente;2764035,12
726260;3;10;2022;Rendimento de Aplicação;3733318,5
715786;1;1;2010;Concedente;438750
715786;2;1;2010;Convenente;10221,83
737834;1;5;2020;Concedente;450000
737834;2;5;2020;Convenente;222428,21
778010;1;5;2014;Concedente;11640000
778010;2;5;2014;Convenente;5775896,6
778688;1;2;2024;Concedente;1500000
778688;2;9;2023;Concedente;1500000
778688;3;12;2023;Convenente;732320,24
778688;4;4;2024;Convenente;732320,25
736739;1;12;2012;Concedente;292500
736739;2;8;2014;Concedente;142301,25
736739;3;5;2013;Convenente;11682
736739;4;8;2014;Convenente;11302
736739;5;9;2014;Concedente;250000
736739;6;10;2014;Concedente;400000
736739;7;11;2014;Concedente;377698,75
736739;8;9;2014;Convenente;13158
736739;9;10;2014;Convenente;21053
736739;10;11;2014;Convenente;19778,68
779264;1;1;2013;Concedente;195000
779264;2;2;2013;Concedente;117000
779264;3;3;2013;Concedente;78000
779264;4;2;2013;Convenente;4979,97
779264;5;3;2013;Convenente;3319,99
779264;6;5;2025;Convenente;38263,26
779264;7;3;2018;Convenente;3571,81
779264;8;7;2025;Convenente;86572,34
780189;1;1;2015;Concedente;11828491,33
780189;2;1;2015;Convenente;4168502,2
780189;3;12;2019;Concedente;84599226,44
780189;4;12;2019;Convenente;39598721,09
780189;5;12;2020;Concedente;66448072,9
780189;6;12;2020;Convenente;18717177,92
726912;1;12;2009;Concedente;227152
726912;2;12;2009;Convenente;0
725489;1;12;2009;Concedente;2500000
725489;2;12;2009;Convenente;120000
732227;1;9;2010;Concedente;277310
732227;2;8;2010;Concedente;277310
782147;1;3;2013;Concedente;16000000
782147;2;3;2013;Convenente;842105,26
782147;3;4;2022;Rendimento de Aplicação;5920000
735829;1;6;2010;Concedente;3950000
735829;2;11;2011;Concedente;11586000
735829;3;12;2011;Concedente;11586000
735829;4;12;2012;Concedente;570000
735829;5;12;2013;Convenente;790000
735829;6;4;2014;Concedente;10904000
735829;7;12;2013;Concedente;114000
735829;8;12;2014;Convenente;2525452,47
735829;9;12;2015;Concedente;94088036,58
735829;10;1;2021;Rendimento de Aplicação;29659134,32
750608;1;12;2010;Concedente;177292,8
750608;2;12;2010;Convenente;19699,2
750608;3;10;2022;Convenente;2500,61
797945;1;5;2015;Concedente;10000000
797945;2;5;2015;Convenente;416666,67
742662;1;9;2010;Concedente;585000
742662;2;9;2010;Convenente;70696,13
782448;1;12;2013;Concedente;680000
782448;2;12;2013;Convenente;317432,98
786205;1;6;2015;Concedente;1632000
786205;2;6;2015;Convenente;76540,48
786205;3;9;2025;Convenente;516979,45
786205;4;8;2025;Rendimento de Aplicação;326196,77
749768;1;12;2010;Concedente;6862462,83
749768;2;12;2010;Convenente;69317,8
749768;3;10;2025;Rendimento de Aplicação;8042996,88
750629;1;4;2011;Concedente;4000000
750629;2;4;2011;Convenente;712492,11
750629;3;6;2017;Rendimento de Aplicação;1248762,32
750629;4;6;2022;Rendimento de Aplicação;910006,45
721277;1;10;2015;Concedente;147650
721277;2;11;2015;Concedente;147650
721277;3;10;2015;Convenente;7284,2
721277;4;11;2015;Convenente;7284,2
745139;1;2;2012;Concedente;975000
745139;2;2;2012;Convenente;23341,42
745139;3;12;2017;Convenente;18658,58
785320;1;4;2014;Concedente;218250
785320;2;5;2014;Concedente;130950
785320;3;6;2014;Concedente;87300
785320;4;4;2014;Convenente;6125
785320;5;5;2014;Convenente;3675
785320;6;6;2014;Convenente;2450
732017;1;11;2016;Concedente;2000000
732017;2;11;2016;Convenente;225820
732017;3;4;2023;Rendimento de Aplicação;865064,32
729238;1;1;2010;Concedente;300000
729238;2;1;2010;Convenente;16275,19
730405;1;12;2009;Concedente;446390
730405;2;12;2009;Convenente;0
786967;1;12;2020;Concedente;487482,45
786967;2;9;2025;Concedente;487517,55
786967;3;9;2025;Convenente;96757,69
747291;1;7;2012;Concedente;9750000
747291;2;12;2013;Convenente;12809496,51
790608;1;4;2015;Concedente;1057295,82
790608;2;4;2015;Convenente;44054,02
790608;3;10;2020;Convenente;546990,38
752640;1;12;2010;Concedente;101604
